numero_lot ; id_client ; nom_produit ; quantite ; date_transaction ; montant
124;CL13521000;Produit29;34;2023-12-26;469.8627121080717
125;CL5051000;Produit60;31;2023-11-28;899.8443059029933
126;CL40031000;Produit98;12;2024-05-21;165.07877656629358
127;CL51911000;Produit97;89;2024-05-26;721.0693737712911
128;CL15171000;Produit24;74;2023-09-23;979.3035548549336
129;CL32391000;Produit75;41;2024-01-01;906.2769972808231
130;CL62051000;Produit5;6;2023-12-05;629.3558241467365
131;CL58011000;Produit21;90;2023-08-13;728.5070983003404
132;CL17241000;Produit50;99;2023-09-25;955.5074282708166
133;CL14921000;Produit52;11;2023-08-27;847.9039192150145
134;CL661000;Produit69;31;2024-03-18;551.1339867680662
135;CL44001000;Produit41;1;2023-07-23;715.6931689591016
136;CL52941000;Produit6;10;2024-01-07;658.8782619323949
137;CL16061000;Produit55;30;2024-02-02;519.9232039037191
138;CL21511000;Produit11;32;2023-07-21;879.8696473708235
139;CL49071000;Produit66;94;2024-02-07;483.87071969723456
140;CL79911000;Produit86;56;2023-11-08;32.76384216393682
141;CL32831000;Produit15;38;2023-10-26;428.26413001387385
142;CL87111000;Produit30;89;2023-12-30;915.0273537058172
143;CL53041000;Produit38;73;2023-07-06;146.89793526485653
144;CL39571000;Produit91;45;2023-09-13;133.61608111024606
145;CL41941000;Produit97;19;2023-12-08;716.4414662252917
146;CL60261000;Produit3;41;2023-11-28;53.51247356071212
147;CL18721000;Produit68;29;2023-08-12;902.5775409628027
148;CL6961000;Produit19;45;2024-02-17;139.43137151981546
149;CL83411000;Produit91;72;2024-02-24;673.4934246066724
150;CL6561000;Produit77;31;2024-03-01;166.21747700820794
151;CL68231000;Produit54;11;2024-05-25;203.29528358853614
152;CL52811000;Produit16;32;2024-04-10;361.2902154427427
153;CL63221000;Produit77;27;2024-01-31;532.3909218474136
154;CL43961000;Produit97;7;2023-10-23;536.0946440197316
155;CL3941000;Produit63;97;2023-07-17;612.2054069385091
156;CL8271000;Produit70;90;2024-05-01;932.4550028187895
157;CL15331000;Produit29;11;2023-08-24;60.83462618414072
158;CL55701000;Produit55;31;2024-05-08;22.462052429829743
159;CL33831000;Produit90;28;2024-01-31;415.1366656054891
160;CL21581000;Produit64;96;2024-03-29;831.9349268757455
161;CL60321000;Produit73;90;2023-06-17;389.1986167457509
162;CL83451000;Produit73;51;2024-05-12;876.3580977473578
163;CL14811000;Produit31;39;2024-03-16;497.6406525040211
164;CL56151000;Produit79;29;2023-09-11;144.69148144875425
165;CL18201000;Produit14;48;2023-07-14;83.53351172033963
166;CL63381000;Produit53;71;2024-05-23;859.6789331656323
167;CL62181000;Produit64;6;2024-01-11;571.1647402607518
168;CL28011000;Produit17;30;2023-08-25;858.7337813289838
169;CL74621000;Produit58;43;2023-08-09;975.0087681371604
170;CL53831000;Produit95;44;2023-10-06;656.5658834812209
171;CL44951000;Produit52;72;2024-02-06;202.2049460967458
172;CL80721000;Produit11;71;2024-02-14;920.2416737871157
173;CL40921000;Produit42;13;2023-09-07;740.9531503530255
174;CL77261000;Produit45;15;2023-12-12;439.05518060883685
175;CL84651000;Produit39;34;2023-07-02;933.4792438153269
176;CL69371000;Produit9;41;2024-01-23;531.5559724505905
177;CL7901000;Produit15;30;2023-07-07;156.7440327745328
178;CL15731000;Produit48;74;2024-01-07;960.359110805958
179;CL86071000;Produit84;67;2023-12-08;326.66059268485304
180;CL23401000;Produit80;78;2024-02-14;673.3883618794748
181;CL85741000;Produit99;95;2023-12-24;252.20098254268441
182;CL54041000;Produit89;53;2023-07-22;318.31808216985013
183;CL27491000;Produit45;26;2023-08-14;762.0189300358347
184;CL19871000;Produit5;53;2023-11-22;261.9303037335323
185;CL22481000;Produit83;33;2023-07-05;370.8549830668086
186;CL57181000;Produit98;59;2024-05-08;418.54550419231333
187;CL14801000;Produit72;44;2023-06-12;561.4446180725805
188;CL63451000;Produit34;44;2024-05-21;123.67842528232566
189;CL25151000;Produit29;65;2024-05-23;675.4949696452488
190;CL82721000;Produit72;80;2024-02-11;251.58204370098082
191;CL72151000;Produit63;71;2024-03-20;357.76128357634207
192;CL47881000;Produit27;53;2024-03-12;75.7453502168167
193;CL44871000;Produit90;74;2023-06-06;578.7344691787115
194;CL57131000;Produit56;37;2023-11-28;920.9834619792344
195;CL80051000;Produit14;36;2024-03-31;74.98427619213709
196;CL33001000;Produit61;6;2024-04-14;127.18847159013146
197;CL31971000;Produit8;42;2023-10-02;572.9954422645424
198;CL26021000;Produit12;3;2023-06-06;729.6859611108324
199;CL17151000;Produit14;15;2024-02-07;201.24125597256324
200;CL52511000;Produit0;9;2023-10-18;57.46534258072385
201;CL33471000;Produit31;6;2023-10-15;580.2737259785812
202;CL17001000;Produit96;73;2023-09-18;700.2258062905919
203;CL37751000;Produit30;7;2023-08-01;788.4446184322181
204;CL50831000;Produit35;1;2024-01-23;701.5130841202277
205;CL68301000;Produit59;2;2024-05-12;658.3292204299305
206;CL18931000;Produit25;82;2023-11-03;400.4343222425176
207;CL6241000;Produit1;59;2023-06-28;910.4909264512581
208;CL10911000;Produit58;55;2023-08-19;627.1504202522208
209;CL32231000;Produit63;19;2024-01-20;186.5361285009993
210;CL85071000;Produit8;92;2023-10-06;260.08719228394244
211;CL33041000;Produit69;48;2024-02-06;554.7605527512786
212;CL13791000;Produit89;43;2024-02-26;59.51447536115184
213;CL32151000;Produit49;85;2023-09-19;101.53255282840098
214;CL53361000;Produit66;5;2023-06-19;105.65693126648377
215;CL88971000;Produit92;9;2024-04-18;70.00150662474411
216;CL28041000;Produit86;53;2024-03-22;589.0707004408303
217;CL82521000;Produit91;41;2024-04-01;750.025889981002
218;CL14771000;Produit65;9;2024-05-21;339.7993700990378
219;CL64411000;Produit53;38;2023-11-01;137.30414226669947
220;CL60891000;Produit6;58;2024-03-28;624.3730760855121
221;CL76821000;Produit35;9;2024-01-10;23.639455512628253
222;CL66711000;Produit52;1;2023-12-10;769.5007205682665
223;CL57751000;Produit70;34;2023-08-06;49.80911182848192
224;CL16011000;Produit54;81;2023-09-02;48.202861353636855
225;CL68511000;Produit1;44;2023-08-08;958.5277462719943
226;CL13821000;Produit72;40;2023-09-29;61.918172014528416
227;CL81641000;Produit89;90;2023-09-26;611.0392834010772
228;CL30201000;Produit54;74;2023-08-04;535.9776053225257
229;CL17601000;Produit52;11;2023-07-23;270.64198993816933
230;CL70821000;Produit11;45;2024-05-06;439.86797442419953
231;CL82031000;Produit30;36;2024-01-04;591.3061091036199
232;CL81861000;Produit59;35;2023-10-11;688.3986643814777
233;CL71491000;Produit15;7;2023-09-06;825.9944265071472
234;CL20371000;Produit96;31;2023-10-02;689.6464403087869
235;CL8491000;Produit6;1;2024-02-18;726.5151402431283
236;CL23361000;Produit39;94;2024-02-20;886.1940109459202
237;CL40981000;Produit62;25;2024-02-22;554.0490091188218
238;CL60921000;Produit52;18;2023-09-21;982.4149383945581
239;CL42151000;Produit84;64;2024-03-29;673.8795162149769
240;CL47391000;Produit54;17;2023-06-29;113.51404712032756
241;CL11171000;Produit1;13;2024-03-17;341.45834474836005
242;CL72061000;Produit16;76;2023-10-29;866.7369379830214
243;CL47881000;Produit74;18;2023-06-24;64.54981873378324
244;CL66271000;Produit90;15;2023-09-27;758.0522907650394
245;CL74421000;Produit54;81;2023-10-29;462.77011090731105
246;CL8751000;Produit97;57;2023-06-21;524.0250870946423
247;CL58121000;Produit60;52;2023-12-31;763.9778265179374
248;CL79781000;Produit55;97;2023-06-01;960.2883964217953
249;CL81161000;Produit3;80;2024-05-22;274.4443198586403
250;CL85671000;Produit65;32;2023-07-31;150.63927344073568
251;CL83971000;Produit2;81;2023-11-11;196.95587124112916
252;CL59631000;Produit34;98;2023-06-14;901.3902519514797
253;CL42421000;Produit88;87;2024-03-03;28.550965762674284
254;CL23661000;Produit81;100;2024-02-13;460.17066284561287
255;CL57651000;Produit33;50;2023-07-07;755.708184005302
256;CL41491000;Produit8;36;2023-08-09;299.26250794347004
257;CL63311000;Produit87;87;2024-04-13;12.859559187965406
258;CL61431000;Produit85;64;2023-10-21;177.05485915347762
259;CL53171000;Produit69;24;2024-02-19;276.15940280169457
260;CL45901000;Produit78;74;2024-03-18;494.99304903938213
261;CL34671000;Produit10;78;2024-04-23;794.6872374563661
262;CL59061000;Produit1;1;2023-12-06;648.0770307803506
263;CL63301000;Produit86;38;2024-04-27;49.56520221074157
264;CL3921000;Produit33;92;2023-06-28;327.5246274868651
265;CL12681000;Produit74;39;2024-04-10;426.8375731630582
266;CL24731000;Produit41;23;2023-06-13;961.5640312959091
267;CL87751000;Produit42;28;2024-01-30;554.0639491554701
268;CL54151000;Produit3;54;2023-09-19;402.76799352011585
269;CL65501000;Produit72;91;2024-02-10;655.2428141378942
270;CL84911000;Produit12;100;2023-09-14;215.10375057307138
271;CL33251000;Produit39;62;2023-11-08;523.3929161114887
272;CL52261000;Produit51;14;2023-09-01;424.57366330360634
273;CL16651000;Produit86;2;2023-12-27;199.5128538331983
274;CL20851000;Produit91;9;2024-05-10;981.489402012661
275;CL17001000;Produit48;8;2024-02-09;848.0111412626286
276;CL25981000;Produit7;54;2023-07-19;838.9933498762063
277;CL17501000;Produit2;63;2023-06-04;729.4997526138802
278;CL76961000;Produit89;7;2023-12-02;869.2561063758159
279;CL88391000;Produit60;28;2023-09-05;527.1818319297184
280;CL52311000;Produit39;64;2023-11-15;190.0883376912568
281;CL5861000;Produit24;100;2023-07-08;53.20241650474194
282;CL41661000;Produit75;84;2023-07-24;28.659519667481863
283;CL10361000;Produit20;35;2024-05-08;29.189289548963526
284;CL4801000;Produit61;98;2023-12-14;415.18024964758223
285;CL25551000;Produit95;80;2023-06-15;213.86586716751881
286;CL23331000;Produit48;24;2024-02-20;936.2417843705455
287;CL55461000;Produit32;9;2023-08-05;950.8021730432885
288;CL11021000;Produit50;35;2024-04-02;759.891684230638
289;CL4571000;Produit19;85;2023-08-27;836.9712071661925
290;CL41161000;Produit45;90;2023-08-02;111.23665057452871
291;CL67941000;Produit49;77;2023-11-06;876.341747670438
292;CL27771000;Produit11;52;2023-11-08;818.5869178198534
293;CL57031000;Produit83;59;2023-07-03;940.9667978145762
294;CL61701000;Produit92;77;2023-12-13;274.98612234875026
295;CL22081000;Produit51;63;2023-07-17;111.27517626417026
296;CL44361000;Produit7;16;2024-02-20;853.8997843793134
297;CL8811000;Produit59;24;2024-03-07;499.0575707254673
298;CL3461000;Produit91;63;2023-08-07;920.2732812636157
299;CL74001000;Produit86;3;2023-11-20;135.1265652236806
300;CL35211000;Produit54;54;2024-03-16;829.9241292215246
301;CL88121000;Produit21;70;2023-07-28;63.149278562900875
302;CL36901000;Produit97;42;2024-01-23;831.0205543426279
303;CL81381000;Produit63;55;2023-08-05;983.683927627203
304;CL75981000;Produit34;6;2023-12-04;97.34364082393378
305;CL43851000;Produit18;21;2023-12-23;165.13567212008024
306;CL34961000;Produit99;39;2023-12-18;484.160808103756
307;CL35341000;Produit47;25;2023-11-21;300.97880974795333
308;CL72751000;Produit99;48;2024-03-10;265.2910375873349
309;CL76591000;Produit21;39;2024-01-21;15.121621827286667
310;CL48281000;Produit15;10;2024-02-22;704.6577263522604
311;CL4091000;Produit37;59;2024-02-08;97.32515675909124
312;CL54021000;Produit71;69;2023-10-01;624.0536935203158
313;CL55491000;Produit61;19;2023-12-25;90.8910726979615
314;CL4651000;Produit6;13;2024-03-16;991.6348879435411
315;CL76151000;Produit63;14;2024-05-22;690.8274436252484
316;CL85021000;Produit56;57;2024-03-29;24.88034660715264
317;CL87971000;Produit17;82;2023-06-15;807.958796037318
318;CL16531000;Produit56;1;2024-03-12;648.3679578253725
319;CL75671000;Produit20;57;2024-04-11;926.2038994065393
320;CL83891000;Produit36;16;2024-01-12;198.09560290918768
321;CL54051000;Produit3;13;2023-06-13;164.88646457075484
322;CL65091000;Produit81;96;2024-03-28;211.50129277250616
323;CL86271000;Produit58;79;2024-04-28;856.5179518221657
324;CL63111000;Produit71;26;2024-04-13;518.4921205151821
325;CL40291000;Produit23;74;2023-10-05;344.1977069059225
326;CL88021000;Produit41;50;2023-06-12;575.2706798316697
327;CL19171000;Produit56;61;2024-01-14;800.472248039426
328;CL4781000;Produit97;51;2024-02-10;37.54660708245376
329;CL28181000;Produit55;8;2023-07-24;85.19369895264136
330;CL37351000;Produit40;57;2023-12-14;664.7463953865107
331;CL50601000;Produit11;26;2023-11-01;140.29253969555475
332;CL29641000;Produit33;40;2023-09-23;985.3948421112513
333;CL86111000;Produit68;76;2024-04-24;971.250199541683
334;CL86651000;Produit45;46;2024-03-02;538.1549566305791
335;CL89901000;Produit52;45;2024-01-03;602.9137681845457
336;CL30881000;Produit46;41;2023-11-07;281.7013207983807
337;CL63191000;Produit93;34;2024-05-16;520.7688972803606
338;CL29991000;Produit93;2;2023-06-02;642.1965052410985
339;CL19481000;Produit18;95;2024-02-11;190.17948773753807
340;CL62821000;Produit98;97;2024-02-23;493.5734657094963
341;CL85691000;Produit50;13;2023-06-05;937.8595467702045
342;CL74481000;Produit83;34;2023-12-02;95.94351081439676
343;CL76501000;Produit71;55;2024-04-12;632.0755748936722
344;CL31791000;Produit22;74;2024-05-19;840.4963937616766
345;CL80211000;Produit92;55;2024-05-27;876.0472605723402
346;CL5601000;Produit63;39;2023-07-26;708.3898348003504
347;CL54041000;Produit71;77;2023-12-01;670.64294402844
348;CL81431000;Produit51;67;2024-01-11;660.9026524699502
349;CL63691000;Produit2;35;2023-07-16;155.8274614027266
350;CL88361000;Produit54;7;2024-01-13;132.01370225500483
351;CL29861000;Produit69;100;2024-04-21;711.1488577614704
352;CL78911000;Produit57;33;2023-11-18;862.4426231521003
353;CL38851000;Produit40;28;2023-10-13;414.7338421212929
354;CL61221000;Produit80;52;2023-06-03;179.82530818911835
355;CL70141000;Produit16;65;2024-03-03;431.34498468370504
356;CL63191000;Produit86;7;2024-02-04;488.28519377097047
357;CL44911000;Produit25;99;2024-01-28;416.738069040083
358;CL18021000;Produit83;65;2024-01-29;546.2902572159776
359;CL85141000;Produit90;71;2023-11-24;99.2004168547691
360;CL70461000;Produit82;38;2023-08-02;204.85400420224644
361;CL14171000;Produit21;53;2024-05-10;836.2673784230576
362;CL25681000;Produit38;68;2024-05-25;883.2522506187727
363;CL25951000;Produit73;81;2024-04-27;804.3715254823964
364;CL42821000;Produit67;74;2023-07-13;672.293876462682
365;CL65711000;Produit62;52;2024-05-26;260.90539970533683
366;CL43291000;Produit49;58;2024-05-15;360.5229987042231
367;CL5771000;Produit77;95;2023-08-01;928.8556217889072
368;CL40251000;Produit73;87;2023-08-13;597.6624392014121
369;CL53701000;Produit66;58;2023-08-21;725.9330082476253
370;CL23781000;Produit48;14;2024-05-19;107.16522202687439
371;CL16771000;Produit50;21;2023-12-14;27.773302749152155
372;CL53711000;Produit98;38;2023-06-06;362.356375223111
373;CL16401000;Produit33;41;2024-05-15;783.2708275171187
374;CL17561000;Produit4;23;2024-04-05;93.66445555979793
375;CL82021000;Produit1;47;2024-03-22;332.0355407145352
376;CL85141000;Produit61;30;2023-06-13;479.607419076472
377;CL40421000;Produit94;2;2024-04-13;267.1011886612984
378;CL6591000;Produit94;99;2023-06-26;447.16752445174427
379;CL55171000;Produit99;44;2024-02-09;710.7739713698998
380;CL74411000;Produit57;4;2024-03-24;265.0219790627957
381;CL5651000;Produit85;22;2023-07-21;298.4773338682134
382;CL36751000;Produit26;71;2023-07-01;571.7607267513156
383;CL52851000;Produit75;40;2023-12-12;222.84876209170764
384;CL49911000;Produit66;21;2023-06-18;503.08964133713624
385;CL60581000;Produit93;40;2023-08-15;201.56882230779593
386;CL40991000;Produit36;48;2024-05-07;143.36814077935185
387;CL52921000;Produit58;59;2023-06-19;33.496412619937814
388;CL32741000;Produit17;43;2023-09-14;505.34930201113247
389;CL76111000;Produit6;47;2023-12-20;584.8468241674009
390;CL3391000;Produit55;48;2024-05-07;504.2702202129688
391;CL76531000;Produit29;24;2023-09-29;594.240206074084
392;CL16681000;Produit27;100;2024-05-09;321.47766463034867
393;CL78121000;Produit62;17;2024-05-06;61.47949907313464
394;CL88221000;Produit89;28;2024-03-10;25.475612255269077
395;CL15731000;Produit64;8;2024-03-05;931.5592923086067
396;CL2571000;Produit17;18;2024-04-23;712.9541169536134
397;CL78761000;Produit31;73;2024-05-14;154.4872334636777
398;CL1681000;Produit84;100;2023-11-29;356.22373857955705
399;CL21871000;Produit79;9;2023-06-02;842.4980753464328
400;CL27841000;Produit40;77;2023-12-03;190.1564235457787
401;CL39141000;Produit29;99;2024-05-20;943.7990803482721
402;CL10891000;Produit73;23;2023-11-06;68.75313295425374
403;CL19611000;Produit67;92;2024-03-07;593.3949102866377
404;CL69341000;Produit57;89;2024-01-04;147.7560569690983
405;CL70651000;Produit52;24;2023-11-07;734.2560271906789
406;CL29371000;Produit39;33;2023-12-11;493.1406565488115
407;CL72971000;Produit88;7;2023-08-21;221.22074804124546
408;CL68231000;Produit56;70;2024-01-10;370.1072276184734
409;CL2441000;Produit46;83;2023-11-29;525.8237281683591
410;CL57951000;Produit66;99;2023-10-18;391.4989955665642
411;CL85841000;Produit20;56;2023-11-17;955.640359692176
412;CL30861000;Produit27;25;2023-06-27;877.9637583246911
413;CL52751000;Produit7;79;2023-08-07;919.806515179209
414;CL59871000;Produit47;63;2023-08-14;633.1146400991851
415;CL36551000;Produit29;48;2024-05-03;653.844976483821
416;CL11521000;Produit99;8;2024-02-24;480.30752971716583
417;CL48371000;Produit36;74;2023-10-27;937.6961722541743
418;CL36081000;Produit10;10;2024-01-29;982.216305265902
419;CL79261000;Produit85;86;2024-02-12;989.4532213834354
420;CL34941000;Produit84;66;2024-04-24;440.33707883623947
421;CL5721000;Produit18;100;2024-02-01;712.4435777996301
422;CL61071000;Produit57;61;2023-06-23;957.9833351211835
423;CL74801000;Produit56;11;2023-06-25;531.3370837505099
424;CL74721000;Produit36;40;2023-07-02;202.74040493552036
425;CL17251000;Produit90;67;2023-07-26;855.4076196536557
426;CL48551000;Produit46;45;2023-08-24;632.1361476506122
427;CL64261000;Produit7;79;2023-12-31;118.1037160450114
428;CL65071000;Produit15;46;2023-06-11;260.2654863071683
429;CL77741000;Produit18;21;2024-02-18;306.0156280661268
430;CL81121000;Produit44;51;2023-12-23;532.9959698874152
431;CL14371000;Produit53;75;2024-02-26;49.14869143919577
432;CL51171000;Produit14;61;2023-09-04;21.301914533688432
433;CL63191000;Produit4;75;2023-12-13;845.2611073851778
434;CL25081000;Produit79;66;2023-08-24;746.2580906426634
435;CL25841000;Produit60;30;2023-12-08;773.6944287746859
436;CL42601000;Produit11;64;2023-07-10;916.7021432587158
437;CL8261000;Produit5;96;2024-03-09;498.5687520939391
438;CL43261000;Produit95;8;2023-10-05;811.8929669960706
439;CL71031000;Produit12;63;2024-05-08;275.0385894998821
440;CL62831000;Produit46;16;2023-07-01;923.3961263977385
441;CL25721000;Produit65;94;2023-08-21;748.2735036264663
442;CL55581000;Produit0;33;2023-10-07;153.57234648145348
443;CL30551000;Produit25;19;2023-08-30;328.3595212616756
444;CL18611000;Produit41;68;2023-08-10;134.49194916782818
445;CL87701000;Produit36;70;2023-08-15;470.99036069074776
446;CL991000;Produit2;85;2024-04-17;471.8115460933839
447;CL61361000;Produit87;17;2023-07-24;166.86214137904
448;CL32961000;Produit11;22;2023-12-24;260.5064755134906
449;CL55641000;Produit74;75;2024-05-24;810.4921717569722
450;CL80101000;Produit73;73;2024-03-20;944.6274958251929
451;CL89461000;Produit0;72;2023-08-17;502.7948930386741
452;CL281000;Produit74;64;2023-06-02;724.1334278534525
453;CL89741000;Produit8;24;2024-04-02;802.3683756101201
454;CL71961000;Produit80;27;2024-03-30;739.9314203858612
455;CL83701000;Produit28;1;2023-10-05;956.9299754710063
456;CL16431000;Produit88;24;2023-06-17;21.53265321241266
457;CL5231000;Produit32;75;2023-06-17;692.7033183957248
458;CL47881000;Produit81;79;2024-04-25;72.10765015634871
459;CL62031000;Produit86;31;2023-10-02;232.47080123452434
460;CL7351000;Produit84;1;2023-12-09;296.5129498857949
461;CL85851000;Produit0;52;2023-12-04;39.2926710339974
462;CL60481000;Produit38;99;2023-07-10;31.2748411625958
463;CL62691000;Produit24;21;2023-06-20;837.0375110276599
464;CL17991000;Produit32;81;2024-04-03;460.18201110517526
465;CL24331000;Produit45;64;2023-08-12;640.5082388965036
